name,label,icon,category,never_removable,permanently_locked
crypto_analyzer,Crypto Analyzer (technical + on-chain + sentiment),bitcoin,crypto,false,true
csrf_auditor,CSRF Auditor,lock,csrf,false,true
custom_agent_builder,Custom Agent Builder (create specialized sub-agents),user-plus,custom,false,true
customer_feedback_collector,Customer Feedback Collector (4 channels),message-circle,customer,true,true
database_integrity_check,Database Integrity Check,database,database,false,true
db_migration_validator,DB Migration Validator,database,db,false,true
db_replication_setup,DB Replication Setup,copy,db,false,true
dependency_checker,Dependency Checker,package,dependency,false,true
dependency_management,Dependency Management,cpu,dependency,false,true
developer_api_optimizer,API Optimizer,plug,developer,false,true
developer_bug_detector,Bug Detector,bug,developer,false,true
developer_bundle_optimizer,Bundle Optimizer,archive,developer,false,true
developer_cicd_pipeline_builder,CI/CD Pipeline Builder,git-merge,developer,false,true
developer_code_quality_audit,Code Quality Audit,check-circle,developer,false,true
developer_database_migration,Database Migration,database,developer,false,true
developer_dependency_analyzer,Dependency Analyzer,package,developer,false,true
developer_environment_setup,Environment Setup,settings,developer,false,true
developer_performance_profiler,Performance Profiler,gauge,developer,false,true
developer_refactoring_engine,Refactoring Engine,git-branch,developer,false,true
developer_ssr_hydration_fixer,SSR/Hydration Fixer,zap,developer,false,true
developer_test_generator,Test Generator,flask-conical,developer,false,true
diagnose_llm,Diagnose LLM (test Z.ai + OpenAI providers),cpu,diagnose,true,true
directory_list,Directory List (browse any directory),folder,directory,false,true
disaster_recovery_planner,Disaster Recovery Planner,shield-alert,disaster,false,true
download_capabilities,Download Capabilities (on-demand ZIP/JSON/CSV),download,download,false,true
dunning_management,Dunning Management,refresh-cw,dunning,false,true
dynamic_kpi_engine,Dynamic KPI Engine (auto-update metrics, no manual intervention),bar-chart,dynamic,false,true
email_automation_advanced,Email Automation (Advanced),Mail,email,false,true
email_marketing_automation,Email Marketing Automation,Mail,email,false,true
email_marketing_automation_full,Email Marketing Automation (full nurture sequences),mail,email,true,true
emergency_stop,Emergency Stop (halt all autonomous operations),alert-octagon,emergency,false,true
error_log_analyzer,Error Log Analyzer,alert-circle,error,false,true
etsy_integration,Etsy Integration (POD listings + sales),shopping-bag,etsy,true,true
execute_inbound_command,Execute + Reply to Inbound Command,message-square,execute,false,true
external_uptime_monitor,External Uptime Monitor,activity,external,false,true
file_create,File Create (create any type of file),file-plus,file,false,true
file_delete,File Delete (delete any non-protected file),file-x,file,false,true
file_inspector,File Inspector,eye,file,false,true
file_modify,File Modify (find + replace in any file),file-edit,file,false,true
file_read,File Read,file-text,file,true,true
file_read_any,File Read Any (read text, base64, binary),file-search,file,false,true
file_write,File Write / Patch,file-edit,file,true,true
financial_controls,Financial Controls,dollar-sign,financial,false,true
financial_planner,Financial Planner,Target,financial,false,true
financial_tracker,Financial Tracker (earnings/expenses/taxes/runway),dollar-sign,financial,true,true
fix_verifier,Fix Verifier,check-circle,fix,false,true
follow_up_automation,Follow-Up Automation (5 segment sequences),send,follow,true,true
force_refresh_settings,Force-Refresh Settings (sync /tmp fallback → DB),refresh-cw,force,true,true
fraud_prevention,Fraud Prevention,shield-alert,fraud,false,true
free_apis_directory,Free APIs Directory,library,free,false,true
freelance_va_system,Freelance VA System (5-stage client flow),briefcase,freelance,true,true
full_system_audit,Full System Audit,shield-check,full,false,true
gig_pipeline_tracker,Gig Pipeline Tracker (lead → close → delivery),kanban,gig,true,true
graphic_design,Graphic Design,Palette,graphic,false,true
health_canary,Health Canary,heart,health,false,true
http_fetch,HTTP Fetch,globe,http,false,true
human_action_router,Human Action Router,user-check,human,false,true
hunt_automated_crm,Hunt Automated Crm,zap,hunt,false,true
hunt_client_onboarding,Hunt Client Onboarding,zap,hunt,false,true
hunt_client_success_tracking,Hunt Client Success Tracking,zap,hunt,false,true
hunt_conversion_optimization,Hunt Conversion Optimization,zap,hunt,false,true
hunt_crm_integration,Hunt Crm Integration,zap,hunt,false,true
hunt_followup_automation,Hunt Followup Automation,zap,hunt,false,true
hunt_lead_generation,Hunt Lead Generation,zap,hunt,false,true
hunt_premium_packaging,Hunt Premium Packaging,zap,hunt,false,true
hunt_proposal_generation,Hunt Proposal Generation,zap,hunt,false,true
hunt_roi_analysis,Hunt Roi Analysis,zap,hunt,false,true
hunt_tier_optimization,Hunt Tier Optimization,zap,hunt,false,true
hunt_value_based_pricing,Hunt Value Based Pricing,zap,hunt,false,true
image_gen,Image Gen,palette,image,false,true
image_process,Image Process (info, base64, analyze with vision),image,image,false,true
income_forecast,Income Forecast,DollarSign,income,false,true
inspect_url,Inspect URL (fetch + clean any URL),search,inspect,false,true
investment_analyzer,Investment Analyzer,TrendingUp,investment,false,true
issue_detector,Issue Detector,alert-triangle,issue,false,true
kb_search,Knowledge Base Search,book-marked,kb,false,true
keyword_analysis,Keyword Analysis (SEO),Search,keyword,false,true
lead_chatbot,Lead Chatbot (website + IG DM + Twitter DM),bot,lead,true,true
lead_generation,Lead Generation,UserPlus,lead,false,true
learning_recorder,Learning Recorder,book-open,learning,false,true
legal_asset_allocation,Legal Asset Allocation,zap,legal,false,true
legal_asset_class_analysis,Legal Asset Class Analysis,zap,legal,false,true
legal_auto_investing,Legal Auto Investing,zap,legal,false,true
legal_auto_rebalancing,Legal Auto Rebalancing,zap,legal,false,true
legal_correlation_analysis,Legal Correlation Analysis,zap,legal,false,true
legal_optimal_allocation,Legal Optimal Allocation,zap,legal,false,true
legal_performance_monitoring,Legal Performance Monitoring,zap,legal,false,true
legal_performance_optimization,Legal Performance Optimization,zap,legal,false,true
legal_rebalancing_automation,Legal Rebalancing Automation,zap,legal,false,true
legal_risk_adjusted_returns,Legal Risk Adjusted Returns,zap,legal,false,true
legal_risk_frameworks,Legal Risk Frameworks,zap,legal,false,true
legal_risk_management,Legal Risk Management,zap,legal,false,true
licensed_activity_blocker,Licensed Activity Blocker,ban,licensed,false,true
log_explorer,Log Explorer (read any log file on demand),file-text,log,false,true
log_tailer,Log Tailer,file-text,log,false,true
loyalty_oath,Loyalty Oath (permanent irrevocable oath to owner),heart,loyalty,false,true
market_adaptation_engine,Market Adaptation Engine (auto-detect trends + adjust strategy),globe,market,false,true
market_intelligence,Market Intelligence,globe,market,false,true
market_research,Market Research,Globe,market,false,true
market_trend_analysis,Market Trend Analysis,BarChart3,market,false,true
market_trend_insights,Market Trend Insights (real-time market data),globe,market,false,true
marketing_automation,Marketing Automation,megaphone,marketing,false,true
marketplace_sync,Marketplace Sync (5 platforms, auto-sync),refresh-cw,marketplace,true,true
memory_recall,Memory Recall,brain,memory,true,true
memory_store,Memory Store,database,memory,true,true
mission_tracker,Mission Tracker ($20K/mo),target,mission,false,true
ml_performance_analyzer,ML Performance Analyzer (pattern recognition),cpu,ml,true,true
multi_agent_coordinator,Multi-Agent Coordinator,Network,multi,false,true
multi_currency,Multi-Currency Support,globe,multi,false,true
multi_format_content,Multi-Format Content,Layout,multi,false,true
multi_format_generation,Multi-Format Content Generation,file-text,multi,false,true
multi_provider_llm_router,Multi-Provider LLM Router,shuffle,multi,false,true
multi_tenancy_auditor,Multi-Tenancy Auditor,users,multi,false,true
niche_discovery_agent,Niche Discovery Agent (find profitable niches),compass,niche,false,true
on_page_optimization,On-Page Optimization,FileText,on,false,true
optimization_recommendations,Optimization Recommendations,cpu,optimization,false,true
owner_vault_create,Owner Vault Create (encrypted owner-only file),lock,owner,false,true
owner_vault_download,Owner Vault Download (get download URL),download,owner,false,true
owner_vault_list,Owner Vault List (list all vault files),list,owner,false,true
page_reader,Page Reader,link,page,true,true
partnership_network,Partnership Network,handshake,partnership,false,true
patch_applier,Patch Applier,git-commit,patch,false,true
patch_designer,Patch Designer,code,patch,false,true
patch_source_file,Patch Source File (runtime code patches),file-edit,patch,false,true
payment_ecommerce,Payment & E-commerce,CreditCard,payment,false,true
payment_processor,Payment Processor (Stripe/PayPal/crypto/Wise),credit-card,payment,true,true
payout_scheduler,Payout Scheduler (auto-distribute to bank/PayPal/crypto),calendar,payout,true,true
performance_0_capacity_planning,Performance 0 Capacity Planning,cpu,performance,false,true
performance_0_cost_optimization,Performance 0 Cost Optimization,cpu,performance,false,true
performance_0_dynamic_allocation,Performance 0 Dynamic Allocation,cpu,performance,false,true
performance_0_load_balancing,Performance 0 Load Balancing,cpu,performance,false,true
performance_1_capacity_planning,Performance 1 Capacity Planning,cpu,performance,false,true
performance_1_cost_optimization,Performance 1 Cost Optimization,cpu,performance,false,true
performance_1_dynamic_allocation,Performance 1 Dynamic Allocation,cpu,performance,false,true
performance_1_load_balancing,Performance 1 Load Balancing,cpu,performance,false,true
performance_2_capacity_planning,Performance 2 Capacity Planning,cpu,performance,false,true
performance_2_cost_optimization,Performance 2 Cost Optimization,cpu,performance,false,true
performance_2_dynamic_allocation,Performance 2 Dynamic Allocation,cpu,performance,false,true
performance_2_load_balancing,Performance 2 Load Balancing,cpu,performance,false,true
performance_3_capacity_planning,Performance 3 Capacity Planning,cpu,performance,false,true
performance_3_cost_optimization,Performance 3 Cost Optimization,cpu,performance,false,true
performance_3_dynamic_allocation,Performance 3 Dynamic Allocation,cpu,performance,false,true
performance_3_load_balancing,Performance 3 Load Balancing,cpu,performance,false,true
performance_attribution,Performance Attribution (multi-touch modeling),git-branch,performance,true,true
personalization_engine_v2,Personalization Engine V2,user-check,personalization,false,true
pod_design_automation,POD Design Automation (t-shirts/mugs/posters),palette,pod,true,true
portfolio_optimizer,Portfolio Optimizer,PieChart,portfolio,false,true
predictive_analytics,Predictive Analytics,TrendingUp,predictive,false,true
predictive_analytics_income,Predictive Analytics Income (forecast + optimize),trending-up,predictive,false,true
predictive_analytics_v2,Predictive Analytics V2,trending-up,predictive,false,true
predictive_bi,Predictive Business Intelligence,bar-chart,predictive,false,true
predictive_ml_model,Predictive ML Model,Cpu,predictive,false,true
priority_management,Priority Management,cpu,priority,false,true
proactive_support,Proactive Support,bell,proactive,false,true
project_management,Project Management,CheckSquare,project,false,true
quantum_asset_allocation,Quantum Asset Allocation,zap,quantum,false,true
quantum_asset_class_analysis,Quantum Asset Class Analysis,zap,quantum,false,true
quantum_auto_investing,Quantum Auto Investing,zap,quantum,false,true
quantum_auto_rebalancing,Quantum Auto Rebalancing,zap,quantum,false,true
quantum_correlation_analysis,Quantum Correlation Analysis,zap,quantum,false,true
quantum_optimal_allocation,Quantum Optimal Allocation,zap,quantum,false,true
quantum_performance_monitoring,Quantum Performance Monitoring,zap,quantum,false,true
quantum_performance_optimization,Quantum Performance Optimization,zap,quantum,false,true
quantum_rebalancing_automation,Quantum Rebalancing Automation,zap,quantum,false,true
quantum_risk_adjusted_returns,Quantum Risk Adjusted Returns,zap,quantum,false,true
quantum_risk_frameworks,Quantum Risk Frameworks,zap,quantum,false,true
quantum_risk_management,Quantum Risk Management,zap,quantum,false,true
rate_limit_enforcer,Rate Limit Enforcer,shield,rate,false,true
real_time_monitor,Real-Time Market Monitoring,activity,real,false,true
reality_check_auditor,Reality Check Auditor,target,reality,false,true
realtime_knowledge_sharing,Realtime Knowledge Sharing,cpu,realtime,false,true
realtime_market_data,Real-Time Market Data,Activity,realtime,false,true
redteam_asset_allocation,Redteam Asset Allocation,zap,redteam,false,true
redteam_asset_class_analysis,Redteam Asset Class Analysis,zap,redteam,false,true
redteam_auto_investing,Redteam Auto Investing,zap,redteam,false,true
redteam_auto_rebalancing,Redteam Auto Rebalancing,zap,redteam,false,true
redteam_correlation_analysis,Redteam Correlation Analysis,zap,redteam,false,true
redteam_optimal_allocation,Redteam Optimal Allocation,zap,redteam,false,true
redteam_performance_monitoring,Redteam Performance Monitoring,zap,redteam,false,true
redteam_performance_optimization,Redteam Performance Optimization,zap,redteam,false,true
redteam_rebalancing_automation,Redteam Rebalancing Automation,zap,redteam,false,true
redteam_risk_adjusted_returns,Redteam Risk Adjusted Returns,zap,redteam,false,true
redteam_risk_frameworks,Redteam Risk Frameworks,zap,redteam,false,true
redteam_risk_management,Redteam Risk Management,zap,redteam,false,true
regression_test_runner,Regression Test Runner,check-circle,regression,false,true
reload_config,Reload Config (refresh in-memory caches),rotate-cw,reload,true,true
report_to_owner,Report To Owner (send message via WhatsApp/email),send,report,false,true
request_owner_auth,Request Owner Auth (send 6-digit code to +15145496297),key,request,false,true
resource_allocation,Resource Allocation,pie-chart,resource,false,true
resource_allocation_opt,Resource Allocation Opt,cpu,resource,false,true
resource_allocator,Resource Allocator (ROI-weighted time/budget),pie-chart,resource,true,true
restore_from_backup,Restore From Backup,rotate-ccw,restore,false,true
revenue_prioritization_engine,Revenue Prioritization Engine (rank sub-agents by revenue potential),target,revenue,false,true
risk_assessment,Risk Assessment,Shield,risk,false,true
risk_management_systems,Risk Management Systems,shield,risk,false,true
rollback_manager,Rollback Manager,rotate-ccw,rollback,false,true
root_cause_analyzer,Root Cause Analyzer,search,root,false,true
scalable_infrastructure,Scalable Infrastructure,server,scalable,false,true
scaling_engine,Scaling Engine (scale winners, kill losers),trending-up,scaling,true,true
scout_automated_reports,Scout Automated Reports,zap,scout,false,true
scout_competitive_opportunities,Scout Competitive Opportunities,zap,scout,false,true
scout_competitor_tracking,Scout Competitor Tracking,zap,scout,false,true
scout_custom_analytics,Scout Custom Analytics,zap,scout,false,true
scout_data_visualization,Scout Data Visualization,zap,scout,false,true
scout_executive_dashboards,Scout Executive Dashboards,zap,scout,false,true
scout_market_prediction,Scout Market Prediction,zap,scout,false,true
scout_market_share_analysis,Scout Market Share Analysis,zap,scout,false,true
scout_opportunity_identification,Scout Opportunity Identification,zap,scout,false,true
scout_predictive_forecasting,Scout Predictive Forecasting,zap,scout,false,true
scout_risk_assessment,Scout Risk Assessment,zap,scout,false,true
scout_strategic_positioning,Scout Strategic Positioning,zap,scout,false,true
secrets_rotator,Secrets Rotator,key,secrets,false,true
security_monitor,Advanced Security Monitor,Shield,security,false,true
self-improving_0_automated_training,Self-Improving 0 Automated Training,cpu,self-improving,false,true
self-improving_0_improvement_tools,Self-Improving 0 Improvement Tools,cpu,self-improving,false,true
self-improving_0_optimization_framework,Self-Improving 0 Optimization Framework,cpu,self-improving,false,true
self-improving_0_performance_monitoring,Self-Improving 0 Performance Monitoring,cpu,self-improving,false,true
self-improving_1_automated_training,Self-Improving 1 Automated Training,cpu,self-improving,false,true
self-improving_1_improvement_tools,Self-Improving 1 Improvement Tools,cpu,self-improving,false,true
self-improving_1_optimization_framework,Self-Improving 1 Optimization Framework,cpu,self-improving,false,true
self-improving_1_performance_monitoring,Self-Improving 1 Performance Monitoring,cpu,self-improving,false,true
self-improving_2_automated_training,Self-Improving 2 Automated Training,cpu,self-improving,false,true
self-improving_2_improvement_tools,Self-Improving 2 Improvement Tools,cpu,self-improving,false,true
self-improving_2_optimization_framework,Self-Improving 2 Optimization Framework,cpu,self-improving,false,true
self-improving_2_performance_monitoring,Self-Improving 2 Performance Monitoring,cpu,self-improving,false,true
self-improving_3_automated_training,Self-Improving 3 Automated Training,cpu,self-improving,false,true
self-improving_3_improvement_tools,Self-Improving 3 Improvement Tools,cpu,self-improving,false,true
self-improving_3_optimization_framework,Self-Improving 3 Optimization Framework,cpu,self-improving,false,true
self-improving_3_performance_monitoring,Self-Improving 3 Performance Monitoring,cpu,self-improving,false,true
self_analyze_performance,Self-Analyze Performance (review past performance),bar-chart,self,false,true
self_backup_create,Self-Backup Create (downloadable ZIP/JSON backup on command),download,self,false,true
self_backup_list,Self-Backup List (list all available backups),list,self,false,true
self_clean_data,Self-Clean Data (remove old conversations/logs),trash-2,self,true,true
self_create_subagent,Self-Create Sub-Agent (create new sub-agents),user-plus,self,false,true
self_delete_subagent,Self-Delete Sub-Agent (remove sub-agents),user-minus,self,false,true
self_diagnose,Self-Diagnose (health check + issue detection),activity,self,false,true
self_improving_strategy,Self-Improving Strategy (auto-applied learnings),trending-up,self,true,true
self_learn_from_interaction,Self-Learn From Interaction (record learnings),book-open,self,false,true
self_modify_subagent,Self-Modify Sub-Agent (edit any sub-agent config),users,self,false,true
self_modify_system_prompt,Self-Modify System Prompt (edit own instructions),edit,self,false,true
self_optimize_tool_selection,Self-Optimize Tool Selection (best tools per task),zap,self,false,true
self_reflect,Self-Reflect (deep introspection on reasoning),brain,self,false,true
self_register_tool,Self-Register Tool (add new tools at runtime),plus-circle,self,false,true
self_repair_code,Self-Repair Code (fix own bugs),wrench,self,true,true
self_restart_services,Self-Restart Services (Baileys, schedules, cache),refresh-cw,self,true,true
self_set_improvement_goal,Self-Set Improvement Goal (autonomous goals),target,self,false,true
self_verify_integrity,Self-Verify Integrity (verify all systems),shield-check,self,true,true
send_communication,Send Communication (SMS/WhatsApp/Email),send,send,false,true
sentiment_analyzer,Sentiment Analyzer (NPS + emotion detection),smile,sentiment,true,true
seo_master_asset_allocation,Seo Master Asset Allocation,zap,seo,false,true
seo_master_asset_class_analysis,Seo Master Asset Class Analysis,zap,seo,false,true
seo_master_auto_investing,Seo Master Auto Investing,zap,seo,false,true
seo_master_auto_rebalancing,Seo Master Auto Rebalancing,zap,seo,false,true
seo_master_correlation_analysis,Seo Master Correlation Analysis,zap,seo,false,true
seo_master_optimal_allocation,Seo Master Optimal Allocation,zap,seo,false,true
seo_master_performance_monitoring,Seo Master Performance Monitoring,zap,seo,false,true
seo_master_performance_optimization,Seo Master Performance Optimization,zap,seo,false,true
seo_master_rebalancing_automation,Seo Master Rebalancing Automation,zap,seo,false,true
seo_master_risk_adjusted_returns,Seo Master Risk Adjusted Returns,zap,seo,false,true
seo_master_risk_frameworks,Seo Master Risk Frameworks,zap,seo,false,true
seo_master_risk_management,Seo Master Risk Management,zap,seo,false,true
seo_optimizer,SEO Optimizer,Search,seo,false,true
service_delivery,Service Delivery Framework,package,service,false,true
session_recovery,Session Recovery,refresh-cw,session,false,true
shared_context_bus,Shared Context Bus,cpu,shared,false,true
social_listening,Social Listening,Radio,social,false,true
social_media_automation,Social Media Automation,Share2,social,false,true
social_media_management,Social Media Management (multi-platform strategy),share-2,social,false,true
social_media_scheduler,Social Media Scheduler (optimal posting times),calendar,social,false,true
source_read,Source File Read,file-code,source,true,true
staging_environment_manager,Staging Environment Manager,git-branch,staging,false,true
stock_screener,Stock Screener (fundamental + valuation),search,stock,false,true
strategic_planning,Strategic Planning Automation,map,strategic,false,true
strategist_adjustment_automation,Strategist Adjustment Automation,zap,strategist,false,true
strategist_competitive_analysis,Strategist Competitive Analysis,zap,strategist,false,true
strategist_kpi_tracking,Strategist Kpi Tracking,zap,strategist,false,true
strategist_market_intelligence,Strategist Market Intelligence,zap,strategist,false,true
strategist_milestone_tracking,Strategist Milestone Tracking,zap,strategist,false,true
strategist_opportunity_intelligence,Strategist Opportunity Intelligence,zap,strategist,false,true
strategist_performance_measurement,Strategist Performance Measurement,zap,strategist,false,true
strategist_performance_optimization,Strategist Performance Optimization,zap,strategist,false,true
strategist_progress_analytics,Strategist Progress Analytics,zap,strategist,false,true
strategist_resource_optimization,Strategist Resource Optimization,zap,strategist,false,true
strategist_risk_frameworks,Strategist Risk Frameworks,zap,strategist,false,true
strategist_roi_tools,Strategist Roi Tools,zap,strategist,false,true
strategy_optimizer,Strategy Optimizer,Target,strategy,false,true
system_health_check,System Health Check,activity,system,false,true
tax_optimizer,Tax Optimizer,Receipt,tax,false,true
test_endpoint,Test Endpoint (HTTP test any URL from server),plug,test,false,true
tool_lazy_loader,Tool Lazy Loader,zap,tool,false,true
tool_registry_audit,Tool Registry Audit,list,tool,false,true
tos_compliance_monitor,ToS Compliance Monitor,scale,tos,false,true
trader_asset_allocation,Trader Asset Allocation,zap,trader,false,true
trader_asset_class_analysis,Trader Asset Class Analysis,zap,trader,false,true
trader_auto_investing,Trader Auto Investing,zap,trader,false,true
trader_auto_rebalancing,Trader Auto Rebalancing,zap,trader,false,true
trader_correlation_analysis,Trader Correlation Analysis,zap,trader,false,true
trader_optimal_allocation,Trader Optimal Allocation,zap,trader,false,true
trader_performance_monitoring,Trader Performance Monitoring,zap,trader,false,true
trader_performance_optimization,Trader Performance Optimization,zap,trader,false,true
trader_rebalancing_automation,Trader Rebalancing Automation,zap,trader,false,true
trader_risk_adjusted_returns,Trader Risk Adjusted Returns,zap,trader,false,true
